Process ID	:,46fa2492518f307c7c7a4ee2
Date		:,2020-09-16 08:12:45
Elapsed time(s)	:,22.00
Dut Sn:,
Dut Mac: ,2C641FEA01A2
Tester Sn: ,WT208C-30473
Test Summary	:,FAIL
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,
1	,0.952000	,WLAN_CAL_11AG_54M_2412_Freq_Ant0	,PASS		, 0.80		,ppm		,-2.00		, 2.00		,(>= <=)		,0,
2	,1.076000	,WLAN_CAL_11AG_54M_2412_Power_Ant0	,PASS		,15.17		,dBm		,14.50		,15.50		,(>= <=)		,0,
3	,0.327000	,WLAN_CAL_11AG_54M_2437_Power_Ant0	,PASS		,15.08		,dBm		,14.50		,15.50		,(>= <=)		,0,
4	,0.359000	,WLAN_CAL_11AG_54M_2462_Power_Ant0	,PASS		,15.01		,dBm		,14.50		,15.50		,(>= <=)		,0,
5	,0.328000	,WLAN_CAL_11AG_54M_2412_Power_Ant1	,PASS		,15.33		,dBm		,14.50		,15.50		,(>= <=)		,0,
6	,0.359000	,WLAN_CAL_11AG_54M_2437_Power_Ant1	,PASS		,15.25		,dBm		,14.50		,15.50		,(>= <=)		,0,
7	,0.358000	,WLAN_CAL_11AG_54M_2462_Power_Ant1	,PASS		,15.38		,dBm		,14.50		,15.50		,(>= <=)		,0,
8	,0.359000	,WLAN_CAL_11AG_54M_5180_Power_Ant0	,PASS		,13.75		,dBm		,13.50		,14.50		,(>= <=)		,0,
9	,0.359000	,WLAN_CAL_11AG_54M_5240_Power_Ant0	,PASS		,13.76		,dBm		,13.50		,14.50		,(>= <=)		,0,
10	,0.296000	,WLAN_CAL_11AG_54M_5260_Power_Ant0	,PASS		,13.88		,dBm		,13.50		,14.50		,(>= <=)		,0,
11	,0.312000	,WLAN_CAL_11AG_54M_5320_Power_Ant0	,PASS		,13.96		,dBm		,13.50		,14.50		,(>= <=)		,0,
12	,0.327000	,WLAN_CAL_11AG_54M_5500_Power_Ant0	,PASS		,14.05		,dBm		,13.50		,14.50		,(>= <=)		,0,
13	,0.609000	,WLAN_CAL_11AG_54M_5580_Power_Ant0	,PASS		,13.72		,dBm		,13.50		,14.50		,(>= <=)		,0,
14	,0.312000	,WLAN_CAL_11AG_54M_5600_Power_Ant0	,PASS		,14.21		,dBm		,13.50		,14.50		,(>= <=)		,0,
15	,0.328000	,WLAN_CAL_11AG_54M_5680_Power_Ant0	,PASS		,13.54		,dBm		,13.50		,14.50		,(>= <=)		,0,
16	,0.359000	,WLAN_CAL_11AG_54M_5700_Power_Ant0	,PASS		,13.94		,dBm		,13.50		,14.50		,(>= <=)		,0,
17	,0.531000	,WLAN_CAL_11AG_54M_5785_Power_Ant0	,PASS		,13.57		,dBm		,13.50		,14.50		,(>= <=)		,0,
18	,3.291000	,WLAN_CAL_11AG_54M_5805_Power_Ant0	,FAIL		,13.21		,dBm		, 0.50		,28.50		,(>= <=)		,5003,

