Process ID	:,1a732a311262437d235259d5
Date		:,2020-09-07 19:46:06
Elapsed time(s)	:,52.00
Dut Sn:,
Dut Mac: ,2C641FDFE7C0
Tester Sn: ,WT208C-30473
Test Summary	:,PASS
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,
262	,0.702000	,WLAN_CAL_11AG_54M_2412_Freq_Ant0	,PASS		,-1.60		,ppm		,-2.00		, 2.00		,(>= <=)		,0,
263	,1.077000	,WLAN_CAL_11AG_54M_2412_Power_Ant0	,PASS		,15.11		,dBm		,14.50		,15.50		,(>= <=)		,0,
264	,0.312000	,WLAN_CAL_11AG_54M_2437_Power_Ant0	,PASS		,14.88		,dBm		,14.50		,15.50		,(>= <=)		,0,
265	,0.312000	,WLAN_CAL_11AG_54M_2462_Power_Ant0	,PASS		,15.08		,dBm		,14.50		,15.50		,(>= <=)		,0,
266	,5.351000	,WLAN_CAL_11AG_54M_2412_Power_Ant1	,PASS		,15.18		,dBm		,14.50		,15.50		,(>= <=)		,0,
267	,0.327000	,WLAN_CAL_11AG_54M_2437_Power_Ant1	,PASS		,15.19		,dBm		,14.50		,15.50		,(>= <=)		,0,
268	,0.312000	,WLAN_CAL_11AG_54M_2462_Power_Ant1	,PASS		,15.34		,dBm		,14.50		,15.50		,(>= <=)		,0,
269	,0.344000	,WLAN_CAL_11AG_54M_5180_Power_Ant0	,PASS		,13.83		,dBm		,13.50		,14.50		,(>= <=)		,0,
270	,0.328000	,WLAN_CAL_11AG_54M_5240_Power_Ant0	,PASS		,13.97		,dBm		,13.50		,14.50		,(>= <=)		,0,
271	,0.499000	,WLAN_CAL_11AG_54M_5260_Power_Ant0	,PASS		,14.05		,dBm		,13.50		,14.50		,(>= <=)		,0,
272	,0.328000	,WLAN_CAL_11AG_54M_5320_Power_Ant0	,PASS		,14.42		,dBm		,13.50		,14.50		,(>= <=)		,0,
273	,0.327000	,WLAN_CAL_11AG_54M_5500_Power_Ant0	,PASS		,14.01		,dBm		,13.50		,14.50		,(>= <=)		,0,
274	,0.359000	,WLAN_CAL_11AG_54M_5580_Power_Ant0	,PASS		,14.43		,dBm		,13.50		,14.50		,(>= <=)		,0,
275	,0.312000	,WLAN_CAL_11AG_54M_5600_Power_Ant0	,PASS		,13.66		,dBm		,13.50		,14.50		,(>= <=)		,0,
276	,0.312000	,WLAN_CAL_11AG_54M_5680_Power_Ant0	,PASS		,14.21		,dBm		,13.50		,14.50		,(>= <=)		,0,
277	,0.546000	,WLAN_CAL_11AG_54M_5700_Power_Ant0	,PASS		,14.06		,dBm		,13.50		,14.50		,(>= <=)		,0,
278	,0.514000	,WLAN_CAL_11AG_54M_5785_Power_Ant0	,PASS		,14.09		,dBm		,13.50		,14.50		,(>= <=)		,0,
279	,0.359000	,WLAN_CAL_11AG_54M_5805_Power_Ant0	,PASS		,14.35		,dBm		,13.50		,14.50		,(>= <=)		,0,
280	,0.546000	,WLAN_CAL_11AG_54M_5825_Power_Ant0	,PASS		,14.28		,dBm		,13.50		,14.50		,(>= <=)		,0,
281	,0.328000	,WLAN_CAL_11AG_54M_5180_Power_Ant1	,PASS		,14.34		,dBm		,13.50		,14.50		,(>= <=)		,0,
282	,0.327000	,WLAN_CAL_11AG_54M_5240_Power_Ant1	,PASS		,13.67		,dBm		,13.50		,14.50		,(>= <=)		,0,
283	,0.327000	,WLAN_CAL_11AG_54M_5260_Power_Ant1	,PASS		,14.45		,dBm		,13.50		,14.50		,(>= <=)		,0,
284	,0.328000	,WLAN_CAL_11AG_54M_5320_Power_Ant1	,PASS		,13.94		,dBm		,13.50		,14.50		,(>= <=)		,0,
