Process ID	:,50270f145c035f0643b90ad9
Date		:,2020-09-11 02:58:58
Elapsed time(s)	:,44.00
Dut Sn:,
Dut Mac: ,2C641FE00BA6
Tester Sn: ,WT208C-30473
Test Summary	:,PASS
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,
6544	,0.375000	,WLAN_CAL_11AG_54M_2412_Freq_Ant0	,PASS		,-0.20		,ppm		,-2.00		, 2.00		,(>= <=)		,0,
6545	,1.076000	,WLAN_CAL_11AG_54M_2412_Power_Ant0	,PASS		,14.82		,dBm		,14.50		,15.50		,(>= <=)		,0,
6546	,0.531000	,WLAN_CAL_11AG_54M_2437_Power_Ant0	,PASS		,14.94		,dBm		,14.50		,15.50		,(>= <=)		,0,
6547	,0.343000	,WLAN_CAL_11AG_54M_2462_Power_Ant0	,PASS		,14.71		,dBm		,14.50		,15.50		,(>= <=)		,0,
6548	,0.296000	,WLAN_CAL_11AG_54M_2412_Power_Ant1	,PASS		,14.68		,dBm		,14.50		,15.50		,(>= <=)		,0,
6549	,0.281000	,WLAN_CAL_11AG_54M_2437_Power_Ant1	,PASS		,14.92		,dBm		,14.50		,15.50		,(>= <=)		,0,
6550	,0.327000	,WLAN_CAL_11AG_54M_2462_Power_Ant1	,PASS		,15.05		,dBm		,14.50		,15.50		,(>= <=)		,0,
6551	,0.312000	,WLAN_CAL_11AG_54M_5180_Power_Ant0	,PASS		,13.92		,dBm		,13.50		,14.50		,(>= <=)		,0,
6552	,0.328000	,WLAN_CAL_11AG_54M_5240_Power_Ant0	,PASS		,13.92		,dBm		,13.50		,14.50		,(>= <=)		,0,
6553	,0.343000	,WLAN_CAL_11AG_54M_5260_Power_Ant0	,PASS		,13.92		,dBm		,13.50		,14.50		,(>= <=)		,0,
6554	,0.327000	,WLAN_CAL_11AG_54M_5320_Power_Ant0	,PASS		,13.86		,dBm		,13.50		,14.50		,(>= <=)		,0,
6555	,0.328000	,WLAN_CAL_11AG_54M_5500_Power_Ant0	,PASS		,13.97		,dBm		,13.50		,14.50		,(>= <=)		,0,
6556	,0.312000	,WLAN_CAL_11AG_54M_5580_Power_Ant0	,PASS		,14.08		,dBm		,13.50		,14.50		,(>= <=)		,0,
6557	,0.281000	,WLAN_CAL_11AG_54M_5600_Power_Ant0	,PASS		,14.12		,dBm		,13.50		,14.50		,(>= <=)		,0,
6558	,0.296000	,WLAN_CAL_11AG_54M_5680_Power_Ant0	,PASS		,14.00		,dBm		,13.50		,14.50		,(>= <=)		,0,
6559	,0.328000	,WLAN_CAL_11AG_54M_5700_Power_Ant0	,PASS		,14.11		,dBm		,13.50		,14.50		,(>= <=)		,0,
6560	,0.327000	,WLAN_CAL_11AG_54M_5785_Power_Ant0	,PASS		,14.05		,dBm		,13.50		,14.50		,(>= <=)		,0,
6561	,0.515000	,WLAN_CAL_11AG_54M_5805_Power_Ant0	,PASS		,13.53		,dBm		,13.50		,14.50		,(>= <=)		,0,
6562	,0.328000	,WLAN_CAL_11AG_54M_5825_Power_Ant0	,PASS		,13.81		,dBm		,13.50		,14.50		,(>= <=)		,0,
6563	,0.327000	,WLAN_CAL_11AG_54M_5180_Power_Ant1	,PASS		,14.36		,dBm		,13.50		,14.50		,(>= <=)		,0,
6564	,0.328000	,WLAN_CAL_11AG_54M_5240_Power_Ant1	,PASS		,13.71		,dBm		,13.50		,14.50		,(>= <=)		,0,
6565	,0.312000	,WLAN_CAL_11AG_54M_5260_Power_Ant1	,PASS		,14.32		,dBm		,13.50		,14.50		,(>= <=)		,0,
6566	,0.281000	,WLAN_CAL_11AG_54M_5320_Power_Ant1	,PASS		,13.67		,dBm		,13.50		,14.50		,(>= <=)		,0,
6567	,0.281000	,WLAN_CAL_11AG_54M_5500_Power_Ant1	,PASS		,14.37		,dBm		,13.50		,14.50		,(>= <=)		,0,
6568	,0.327000	,WLAN_CAL_11AG_54M_5580_Power_Ant1	,PASS		,14.26		,dBm		,13.50		,14.50		,(>= <=)		,0,
6569	,0.328000	,WLAN_CAL_11AG_54M_5600_Power_Ant1	,PASS		,14.14		,dBm		,13.50		,14.50		,(>= <=)		,0,
6570	,0.328000	,WLAN_CAL_11AG_54M_5680_Power_Ant1	,PASS		,14.09		,dBm		,13.50		,14.50		,(>= <=)		,0,
6571	,0.327000	,WLAN_CAL_11AG_54M_5700_Power_Ant1	,PASS		,13.89		,dBm		,13.50		,14.50		,(>= <=)		,0,
6572	,0.328000	,WLAN_CAL_11AG_54M_5785_Power_Ant1	,PASS		,14.42		,dBm		,13.50		,14.50		,(>= <=)		,0,
6573	,0.312000	,WLAN_CAL_11AG_54M_5805_Power_Ant1	,PASS		,14.31		,dBm		,13.50		,14.50		,(>= <=)		,0,
6574	,0.312000	,WLAN_CAL_11AG_54M_5825_Power_Ant1	,PASS		,13.81		,dBm		, 0.50		,28.50		,(>= <=)		,0,
6575	,0.764000	,WLAN_TXVERIFY_11B_11M_2422_EVM_Ant0	,PASS		,-17.88		,dB		,-55.00		,-10.00		,(>= <=)		,0,
6576	,0.764000	,WLAN_TXVERIFY_11B_11M_2422_Power_Ant0	,PASS		,16.90		,dBm		,15.00		,19.00		,(>= <=)		,0,
6577	,0.764000	,WLAN_TXVERIFY_11B_11M_2422_Mask_Ant0	,PASS		, 0.00		,percent		, 0.00		, 5.12		,(>= <=)		,0,
6578	,0.764000	,WLAN_TXVERIFY_11B_11M_2422_FreqErr_Ant0	,PASS		,-1.03		,ppm		,-15.00		,15.00		,(>= <=)		,0,
6579	,0.452000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_EVM_Ant0	,PASS		,-37.96		,dB		,-55.00		,-27.00		,(>= <=)		,0,
6580	,0.452000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_Power_Ant0	,PASS		,13.90		,dBm		,12.00		,16.00		,(>= <=)		,0,
6581	,0.452000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_Mask_Ant0	,PASS		, 0.00		,percent		, 0.00		, 5.12		,(>= <=)		,0,
6582	,0.452000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_FreqErr_Ant0	,PASS		,-1.04		,ppm		,-15.00		,15.00		,(>= <=)		,0,
6583	,0.468000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2462_EVM_Ant0	,PASS		,-37.69		,dB		,-55.00		,-27.00		,(>= <=)		,0,
6584	,0.468000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2462_Power_Ant0	,PASS		,13.31		,dBm		,12.00		,16.00		,(>= <=)		,0,
6585	,0.468000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2462_Mask_Ant0	,PASS		, 0.00		,percent		, 0.00		, 5.12		,(>= <=)		,0,
6586	,0.468000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2462_FreqErr_Ant0	,PASS		,-1.05		,ppm		,-15.00		,15.00		,(>= <=)		,0,
6587	,0.811000	,WLAN_TXVERIFY_11B_11M_2422_EVM_Ant1	,PASS		,-17.92		,dB		,-55.00		,-10.00		,(>= <=)		,0,
6588	,0.811000	,WLAN_TXVERIFY_11B_11M_2422_Power_Ant1	,PASS		,16.88		,dBm		,15.00		,19.00		,(>= <=)		,0,
6589	,0.811000	,WLAN_TXVERIFY_11B_11M_2422_Mask_Ant1	,PASS		, 0.00		,percent		, 0.00		, 5.12		,(>= <=)		,0,
6590	,0.811000	,WLAN_TXVERIFY_11B_11M_2422_FreqErr_Ant1	,PASS		,-1.05		,ppm		,-15.00		,15.00		,(>= <=)		,0,
6591	,0.468000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_EVM_Ant1	,PASS		,-37.90		,dB		,-55.00		,-27.00		,(>= <=)		,0,
6592	,0.468000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_Power_Ant1	,PASS		,13.79		,dBm		,12.00		,16.00		,(>= <=)		,0,
6593	,0.468000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_Mask_Ant1	,PASS		, 0.00		,percent		, 0.00		, 5.12		,(>= <=)		,0,
