Process ID	:,08e508eb5757734d71ae07ed
Date		:,2020-09-11 09:47:35
Elapsed time(s)	:,57.00
Dut Sn:,
Dut Mac: ,2C641FE0221D
Tester Sn: ,WT208C-30473
Test Summary	:,PASS
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,
1846	,0.702000	,WLAN_CAL_11AG_54M_2412_Freq_Ant0	,PASS		,-0.89		,ppm		,-2.00		, 2.00		,(>= <=)		,0,
1847	,1.076000	,WLAN_CAL_11AG_54M_2412_Power_Ant0	,PASS		,15.22		,dBm		,14.50		,15.50		,(>= <=)		,0,
1848	,0.375000	,WLAN_CAL_11AG_54M_2437_Power_Ant0	,PASS		,15.17		,dBm		,14.50		,15.50		,(>= <=)		,0,
1849	,0.358000	,WLAN_CAL_11AG_54M_2462_Power_Ant0	,PASS		,14.78		,dBm		,14.50		,15.50		,(>= <=)		,0,
1850	,0.359000	,WLAN_CAL_11AG_54M_2412_Power_Ant1	,PASS		,14.78		,dBm		,14.50		,15.50		,(>= <=)		,0,
1851	,0.343000	,WLAN_CAL_11AG_54M_2437_Power_Ant1	,PASS		,14.80		,dBm		,14.50		,15.50		,(>= <=)		,0,
1852	,0.328000	,WLAN_CAL_11AG_54M_2462_Power_Ant1	,PASS		,15.00		,dBm		,14.50		,15.50		,(>= <=)		,0,
1853	,0.328000	,WLAN_CAL_11AG_54M_5180_Power_Ant0	,PASS		,13.96		,dBm		,13.50		,14.50		,(>= <=)		,0,
1854	,0.359000	,WLAN_CAL_11AG_54M_5240_Power_Ant0	,PASS		,14.06		,dBm		,13.50		,14.50		,(>= <=)		,0,
1855	,0.374000	,WLAN_CAL_11AG_54M_5260_Power_Ant0	,PASS		,14.11		,dBm		,13.50		,14.50		,(>= <=)		,0,
1856	,0.343000	,WLAN_CAL_11AG_54M_5320_Power_Ant0	,PASS		,14.03		,dBm		,13.50		,14.50		,(>= <=)		,0,
1857	,0.343000	,WLAN_CAL_11AG_54M_5500_Power_Ant0	,PASS		,14.13		,dBm		,13.50		,14.50		,(>= <=)		,0,
1858	,0.359000	,WLAN_CAL_11AG_54M_5580_Power_Ant0	,PASS		,13.85		,dBm		,13.50		,14.50		,(>= <=)		,0,
1859	,0.344000	,WLAN_CAL_11AG_54M_5600_Power_Ant0	,PASS		,13.88		,dBm		,13.50		,14.50		,(>= <=)		,0,
1860	,0.358000	,WLAN_CAL_11AG_54M_5680_Power_Ant0	,PASS		,14.27		,dBm		,13.50		,14.50		,(>= <=)		,0,
1861	,0.359000	,WLAN_CAL_11AG_54M_5700_Power_Ant0	,PASS		,14.14		,dBm		,13.50		,14.50		,(>= <=)		,0,
1862	,0.359000	,WLAN_CAL_11AG_54M_5785_Power_Ant0	,PASS		,13.73		,dBm		,13.50		,14.50		,(>= <=)		,0,
1863	,0.359000	,WLAN_CAL_11AG_54M_5805_Power_Ant0	,PASS		,13.60		,dBm		,13.50		,14.50		,(>= <=)		,0,
1864	,0.359000	,WLAN_CAL_11AG_54M_5825_Power_Ant0	,PASS		,13.79		,dBm		,13.50		,14.50		,(>= <=)		,0,
1865	,0.327000	,WLAN_CAL_11AG_54M_5180_Power_Ant1	,PASS		,13.87		,dBm		,13.50		,14.50		,(>= <=)		,0,
1866	,0.344000	,WLAN_CAL_11AG_54M_5240_Power_Ant1	,PASS		,14.00		,dBm		,13.50		,14.50		,(>= <=)		,0,
1867	,0.343000	,WLAN_CAL_11AG_54M_5260_Power_Ant1	,PASS		,13.78		,dBm		,13.50		,14.50		,(>= <=)		,0,
1868	,0.328000	,WLAN_CAL_11AG_54M_5320_Power_Ant1	,PASS		,14.15		,dBm		,13.50		,14.50		,(>= <=)		,0,
1869	,0.343000	,WLAN_CAL_11AG_54M_5500_Power_Ant1	,PASS		,14.02		,dBm		,13.50		,14.50		,(>= <=)		,0,
1870	,0.343000	,WLAN_CAL_11AG_54M_5580_Power_Ant1	,PASS		,13.96		,dBm		,13.50		,14.50		,(>= <=)		,0,
1871	,0.359000	,WLAN_CAL_11AG_54M_5600_Power_Ant1	,PASS		,14.10		,dBm		,13.50		,14.50		,(>= <=)		,0,
1872	,0.328000	,WLAN_CAL_11AG_54M_5680_Power_Ant1	,PASS		,14.22		,dBm		,13.50		,14.50		,(>= <=)		,0,
1873	,0.343000	,WLAN_CAL_11AG_54M_5700_Power_Ant1	,PASS		,13.88		,dBm		,13.50		,14.50		,(>= <=)		,0,
