Process ID	:,050320e328083ebc00e74780
Date		:,2020-09-14 10:10:44
Elapsed time(s)	:,43.00
Dut Sn:,
Dut Mac: ,2C641FE9EACB
Tester Sn: ,WT208C-30473
Test Summary	:,PASS
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,
1132	,0.858000	,WLAN_CAL_11AG_54M_2412_Freq_Ant0	,PASS		, 0.38		,ppm		,-2.00		, 2.00		,(>= <=)		,0,
1133	,1.061000	,WLAN_CAL_11AG_54M_2412_Power_Ant0	,PASS		,14.98		,dBm		,14.50		,15.50		,(>= <=)		,0,
1134	,0.297000	,WLAN_CAL_11AG_54M_2437_Power_Ant0	,PASS		,14.79		,dBm		,14.50		,15.50		,(>= <=)		,0,
1135	,0.312000	,WLAN_CAL_11AG_54M_2462_Power_Ant0	,PASS		,15.14		,dBm		,14.50		,15.50		,(>= <=)		,0,
1136	,0.296000	,WLAN_CAL_11AG_54M_2412_Power_Ant1	,PASS		,15.15		,dBm		,14.50		,15.50		,(>= <=)		,0,
1137	,0.296000	,WLAN_CAL_11AG_54M_2437_Power_Ant1	,PASS		,15.17		,dBm		,14.50		,15.50		,(>= <=)		,0,
1138	,0.281000	,WLAN_CAL_11AG_54M_2462_Power_Ant1	,PASS		,15.13		,dBm		,14.50		,15.50		,(>= <=)		,0,
1139	,0.514000	,WLAN_CAL_11AG_54M_5180_Power_Ant0	,PASS		,14.32		,dBm		,13.50		,14.50		,(>= <=)		,0,
1140	,0.281000	,WLAN_CAL_11AG_54M_5240_Power_Ant0	,PASS		,13.81		,dBm		,13.50		,14.50		,(>= <=)		,0,
1141	,0.530000	,WLAN_CAL_11AG_54M_5260_Power_Ant0	,PASS		,13.91		,dBm		,13.50		,14.50		,(>= <=)		,0,
1142	,0.281000	,WLAN_CAL_11AG_54M_5320_Power_Ant0	,PASS		,13.98		,dBm		,13.50		,14.50		,(>= <=)		,0,
1143	,1.123000	,WLAN_CAL_11AG_54M_5500_Power_Ant0	,PASS		,14.19		,dBm		,13.50		,14.50		,(>= <=)		,0,
1144	,0.328000	,WLAN_CAL_11AG_54M_5580_Power_Ant0	,PASS		,13.58		,dBm		,13.50		,14.50		,(>= <=)		,0,
1145	,0.514000	,WLAN_CAL_11AG_54M_5600_Power_Ant0	,PASS		,13.97		,dBm		,13.50		,14.50		,(>= <=)		,0,
1146	,0.281000	,WLAN_CAL_11AG_54M_5680_Power_Ant0	,PASS		,14.21		,dBm		,13.50		,14.50		,(>= <=)		,0,
1147	,1.014000	,WLAN_CAL_11AG_54M_5700_Power_Ant0	,PASS		,13.92		,dBm		,13.50		,14.50		,(>= <=)		,0,
1148	,0.327000	,WLAN_CAL_11AG_54M_5785_Power_Ant0	,PASS		,14.14		,dBm		,13.50		,14.50		,(>= <=)		,0,
1149	,0.889000	,WLAN_CAL_11AG_54M_5805_Power_Ant0	,PASS		,14.18		,dBm		,13.50		,14.50		,(>= <=)		,0,
1150	,0.281000	,WLAN_CAL_11AG_54M_5825_Power_Ant0	,PASS		,14.19		,dBm		,13.50		,14.50		,(>= <=)		,0,
1151	,0.281000	,WLAN_CAL_11AG_54M_5180_Power_Ant1	,PASS		,14.08		,dBm		,13.50		,14.50		,(>= <=)		,0,
1152	,0.296000	,WLAN_CAL_11AG_54M_5240_Power_Ant1	,PASS		,13.70		,dBm		,13.50		,14.50		,(>= <=)		,0,
1153	,0.281000	,WLAN_CAL_11AG_54M_5260_Power_Ant1	,PASS		,13.77		,dBm		,13.50		,14.50		,(>= <=)		,0,
1154	,0.312000	,WLAN_CAL_11AG_54M_5320_Power_Ant1	,PASS		,14.00		,dBm		,13.50		,14.50		,(>= <=)		,0,
1155	,0.312000	,WLAN_CAL_11AG_54M_5500_Power_Ant1	,PASS		,13.82		,dBm		,13.50		,14.50		,(>= <=)		,0,
1156	,0.312000	,WLAN_CAL_11AG_54M_5580_Power_Ant1	,PASS		,13.82		,dBm		,13.50		,14.50		,(>= <=)		,0,
1157	,0.312000	,WLAN_CAL_11AG_54M_5600_Power_Ant1	,PASS		,13.59		,dBm		,13.50		,14.50		,(>= <=)		,0,
1158	,0.514000	,WLAN_CAL_11AG_54M_5680_Power_Ant1	,PASS		,13.87		,dBm		,13.50		,14.50		,(>= <=)		,0,
1159	,0.812000	,WLAN_CAL_11AG_54M_5700_Power_Ant1	,PASS		,14.26		,dBm		,13.50		,14.50		,(>= <=)		,0,
1160	,0.281000	,WLAN_CAL_11AG_54M_5785_Power_Ant1	,PASS		,13.91		,dBm		,13.50		,14.50		,(>= <=)		,0,
1161	,0.515000	,WLAN_CAL_11AG_54M_5805_Power_Ant1	,PASS		,13.54		,dBm		,13.50		,14.50		,(>= <=)		,0,
1162	,0.296000	,WLAN_CAL_11AG_54M_5825_Power_Ant1	,PASS		,13.89		,dBm		, 0.50		,28.50		,(>= <=)		,0,
1163	,0.796000	,WLAN_TXVERIFY_11B_11M_2422_EVM_Ant0	,PASS		,-17.90		,dB		,-55.00		,-10.00		,(>= <=)		,0,
1164	,0.796000	,WLAN_TXVERIFY_11B_11M_2422_Power_Ant0	,PASS		,17.21		,dBm		,15.00		,19.00		,(>= <=)		,0,
1165	,0.796000	,WLAN_TXVERIFY_11B_11M_2422_Mask_Ant0	,PASS		, 0.00		,percent		, 0.00		, 5.12		,(>= <=)		,0,
1166	,0.796000	,WLAN_TXVERIFY_11B_11M_2422_FreqErr_Ant0	,PASS		,-0.53		,ppm		,-15.00		,15.00		,(>= <=)		,0,
1167	,0.484000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_EVM_Ant0	,PASS		,-36.15		,dB		,-55.00		,-27.00		,(>= <=)		,0,
1168	,0.484000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_Power_Ant0	,PASS		,13.79		,dBm		,12.00		,16.00		,(>= <=)		,0,
1169	,0.484000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_Mask_Ant0	,PASS		, 0.00		,percent		, 0.00		, 5.12		,(>= <=)		,0,
1170	,0.484000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_FreqErr_Ant0	,PASS		,-0.54		,ppm		,-15.00		,15.00		,(>= <=)		,0,
1171	,0.436000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2462_EVM_Ant0	,PASS		,-37.37		,dB		,-55.00		,-27.00		,(>= <=)		,0,
1172	,0.436000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2462_Power_Ant0	,PASS		,13.76		,dBm		,12.00		,16.00		,(>= <=)		,0,
1173	,0.436000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2462_Mask_Ant0	,PASS		, 0.00		,percent		, 0.00		, 5.12		,(>= <=)		,0,
1174	,0.436000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2462_FreqErr_Ant0	,PASS		,-0.54		,ppm		,-15.00		,15.00		,(>= <=)		,0,
1175	,0.749000	,WLAN_TXVERIFY_11B_11M_2422_EVM_Ant1	,PASS		,-17.83		,dB		,-55.00		,-10.00		,(>= <=)		,0,
1176	,0.749000	,WLAN_TXVERIFY_11B_11M_2422_Power_Ant1	,PASS		,17.30		,dBm		,15.00		,19.00		,(>= <=)		,0,
1177	,0.749000	,WLAN_TXVERIFY_11B_11M_2422_Mask_Ant1	,PASS		, 0.00		,percent		, 0.00		, 5.12		,(>= <=)		,0,
1178	,0.749000	,WLAN_TXVERIFY_11B_11M_2422_FreqErr_Ant1	,PASS		,-0.55		,ppm		,-15.00		,15.00		,(>= <=)		,0,
1179	,0.468000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_EVM_Ant1	,PASS		,-37.49		,dB		,-55.00		,-27.00		,(>= <=)		,0,
1180	,0.468000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_Power_Ant1	,PASS		,14.10		,dBm		,12.00		,16.00		,(>= <=)		,0,
1181	,0.468000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_Mask_Ant1	,PASS		, 0.00		,percent		, 0.00		, 5.12		,(>= <=)		,0,
1182	,0.468000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_FreqErr_Ant1	,PASS		,-0.53		,ppm		,-15.00		,15.00		,(>= <=)		,0,
1183	,0.452000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2462_EVM_Ant1	,PASS		,-38.25		,dB		,-55.00		,-27.00		,(>= <=)		,0,
1184	,0.452000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2462_Power_Ant1	,PASS		,13.91		,dBm		,12.00		,16.00		,(>= <=)		,0,
1185	,0.452000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2462_Mask_Ant1	,PASS		, 0.00		,percent		, 0.00		, 5.12		,(>= <=)		,0,
1186	,0.452000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2462_FreqErr_Ant1	,PASS		,-0.53		,ppm		,-15.00		,15.00		,(>= <=)		,0,
1187	,0.453000	,WLAN_TXVERIFY_11AG_54M_5180_EVM_Ant0	,PASS		,-37.10		,dB		,-55.00		,-25.00		,(>= <=)		,0,
1188	,0.453000	,WLAN_TXVERIFY_11AG_54M_5180_Power_Ant0	,PASS		,12.19		,dBm		,12.00		,16.00		,(>= <=)		,0,
1189	,0.453000	,WLAN_TXVERIFY_11AG_54M_5180_Mask_Ant0	,PASS		, 0.00		,percent		, 0.00		, 5.12		,(>= <=)		,0,
1190	,0.453000	,WLAN_TXVERIFY_11AG_54M_5180_FreqErr_Ant0	,PASS		,-0.56		,ppm		,-15.00		,15.00		,(>= <=)		,0,
1191	,0.437000	,WLAN_TXVERIFY_11AG_54M_5825_EVM_Ant0	,PASS		,-37.36		,dB		,-55.00		,-25.00		,(>= <=)		,0,
