Process ID	:,2b1b53401e3102ee14f82b46
Date		:,2020-09-14 16:34:59
Elapsed time(s)	:,51.00
Dut Sn:,
Dut Mac: ,2C641FE9CB04
Tester Sn: ,WT208C-30473
Test Summary	:,PASS
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,
1132	,1.310000	,WLAN_CAL_11AG_54M_2412_Freq_Ant0	,PASS		, 1.24		,ppm		,-2.00		, 2.00		,(>= <=)		,0,
1133	,1.092000	,WLAN_CAL_11AG_54M_2412_Power_Ant0	,PASS		,14.61		,dBm		,14.50		,15.50		,(>= <=)		,0,
1134	,0.296000	,WLAN_CAL_11AG_54M_2437_Power_Ant0	,PASS		,14.95		,dBm		,14.50		,15.50		,(>= <=)		,0,
1135	,0.343000	,WLAN_CAL_11AG_54M_2462_Power_Ant0	,PASS		,14.63		,dBm		,14.50		,15.50		,(>= <=)		,0,
1136	,0.328000	,WLAN_CAL_11AG_54M_2412_Power_Ant1	,PASS		,14.87		,dBm		,14.50		,15.50		,(>= <=)		,0,
1137	,0.343000	,WLAN_CAL_11AG_54M_2437_Power_Ant1	,PASS		,15.11		,dBm		,14.50		,15.50		,(>= <=)		,0,
1138	,0.327000	,WLAN_CAL_11AG_54M_2462_Power_Ant1	,PASS		,15.15		,dBm		,14.50		,15.50		,(>= <=)		,0,
1139	,0.312000	,WLAN_CAL_11AG_54M_5180_Power_Ant0	,PASS		,13.89		,dBm		,13.50		,14.50		,(>= <=)		,0,
1140	,0.328000	,WLAN_CAL_11AG_54M_5240_Power_Ant0	,PASS		,14.11		,dBm		,13.50		,14.50		,(>= <=)		,0,
1141	,0.312000	,WLAN_CAL_11AG_54M_5260_Power_Ant0	,PASS		,14.14		,dBm		,13.50		,14.50		,(>= <=)		,0,
1142	,0.577000	,WLAN_CAL_11AG_54M_5320_Power_Ant0	,PASS		,14.06		,dBm		,13.50		,14.50		,(>= <=)		,0,
1143	,0.327000	,WLAN_CAL_11AG_54M_5500_Power_Ant0	,PASS		,14.21		,dBm		,13.50		,14.50		,(>= <=)		,0,
1144	,0.312000	,WLAN_CAL_11AG_54M_5580_Power_Ant0	,PASS		,14.27		,dBm		,13.50		,14.50		,(>= <=)		,0,
1145	,0.296000	,WLAN_CAL_11AG_54M_5600_Power_Ant0	,PASS		,14.01		,dBm		,13.50		,14.50		,(>= <=)		,0,
1146	,0.343000	,WLAN_CAL_11AG_54M_5680_Power_Ant0	,PASS		,14.28		,dBm		,13.50		,14.50		,(>= <=)		,0,
1147	,0.327000	,WLAN_CAL_11AG_54M_5700_Power_Ant0	,PASS		,14.25		,dBm		,13.50		,14.50		,(>= <=)		,0,
1148	,0.312000	,WLAN_CAL_11AG_54M_5785_Power_Ant0	,PASS		,14.01		,dBm		,13.50		,14.50		,(>= <=)		,0,
