Process ID	:,5042317f62943fa24b8422ed
Date		:,2020-09-16 11:12:07
Elapsed time(s)	:,59.00
Dut Sn:,
Dut Mac: ,2C641FEA0B97
Tester Sn: ,WT208C-30473
Test Summary	:,PASS
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,
190	,1.077000	,WLAN_CAL_11AG_54M_2412_Freq_Ant0	,PASS		, 1.69		,ppm		,-2.00		, 2.00		,(>= <=)		,0,
191	,1.092000	,WLAN_CAL_11AG_54M_2412_Power_Ant0	,PASS		,15.46		,dBm		,14.50		,15.50		,(>= <=)		,0,
192	,0.453000	,WLAN_CAL_11AG_54M_2437_Power_Ant0	,PASS		,15.44		,dBm		,14.50		,15.50		,(>= <=)		,0,
193	,0.374000	,WLAN_CAL_11AG_54M_2462_Power_Ant0	,PASS		,15.49		,dBm		,14.50		,15.50		,(>= <=)		,0,
194	,0.390000	,WLAN_CAL_11AG_54M_2412_Power_Ant1	,PASS		,14.91		,dBm		,14.50		,15.50		,(>= <=)		,0,
195	,0.374000	,WLAN_CAL_11AG_54M_2437_Power_Ant1	,PASS		,15.01		,dBm		,14.50		,15.50		,(>= <=)		,0,
196	,0.406000	,WLAN_CAL_11AG_54M_2462_Power_Ant1	,PASS		,15.24		,dBm		,14.50		,15.50		,(>= <=)		,0,
197	,1.388000	,WLAN_CAL_11AG_54M_5180_Power_Ant0	,PASS		,14.03		,dBm		,13.50		,14.50		,(>= <=)		,0,
198	,0.359000	,WLAN_CAL_11AG_54M_5240_Power_Ant0	,PASS		,14.06		,dBm		,13.50		,14.50		,(>= <=)		,0,
199	,0.983000	,WLAN_CAL_11AG_54M_5260_Power_Ant0	,PASS		,13.73		,dBm		,13.50		,14.50		,(>= <=)		,0,
200	,0.374000	,WLAN_CAL_11AG_54M_5320_Power_Ant0	,PASS		,14.42		,dBm		,13.50		,14.50		,(>= <=)		,0,
201	,0.874000	,WLAN_CAL_11AG_54M_5500_Power_Ant0	,PASS		,13.87		,dBm		,13.50		,14.50		,(>= <=)		,0,
202	,0.686000	,WLAN_CAL_11AG_54M_5580_Power_Ant0	,PASS		,14.06		,dBm		,13.50		,14.50		,(>= <=)		,0,
203	,1.279000	,WLAN_CAL_11AG_54M_5600_Power_Ant0	,PASS		,13.82		,dBm		,13.50		,14.50		,(>= <=)		,0,
204	,0.343000	,WLAN_CAL_11AG_54M_5680_Power_Ant0	,PASS		,13.84		,dBm		,13.50		,14.50		,(>= <=)		,0,
205	,1.061000	,WLAN_CAL_11AG_54M_5700_Power_Ant0	,PASS		,13.75		,dBm		,13.50		,14.50		,(>= <=)		,0,
206	,0.328000	,WLAN_CAL_11AG_54M_5785_Power_Ant0	,PASS		,14.12		,dBm		,13.50		,14.50		,(>= <=)		,0,
