Process ID	:,3d4a0f3a5720043974bb6940
Date		:,2020-09-17 03:30:46
Elapsed time(s)	:,56.00
Dut Sn:,
Dut Mac: ,2C641FE9E824
Tester Sn: ,WT208C-30473
Test Summary	:,PASS
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,
6265	,0.577000	,WLAN_CAL_11AG_54M_2412_Freq_Ant0	,PASS		,-1.96		,ppm		,-2.00		, 2.00		,(>= <=)		,0,
6266	,1.029000	,WLAN_CAL_11AG_54M_2412_Power_Ant0	,PASS		,14.88		,dBm		,14.50		,15.50		,(>= <=)		,0,
6267	,0.328000	,WLAN_CAL_11AG_54M_2437_Power_Ant0	,PASS		,15.28		,dBm		,14.50		,15.50		,(>= <=)		,0,
6268	,0.312000	,WLAN_CAL_11AG_54M_2462_Power_Ant0	,PASS		,14.92		,dBm		,14.50		,15.50		,(>= <=)		,0,
6269	,0.327000	,WLAN_CAL_11AG_54M_2412_Power_Ant1	,PASS		,14.94		,dBm		,14.50		,15.50		,(>= <=)		,0,
6270	,0.312000	,WLAN_CAL_11AG_54M_2437_Power_Ant1	,PASS		,15.16		,dBm		,14.50		,15.50		,(>= <=)		,0,
6271	,0.296000	,WLAN_CAL_11AG_54M_2462_Power_Ant1	,PASS		,15.03		,dBm		,14.50		,15.50		,(>= <=)		,0,
6272	,0.312000	,WLAN_CAL_11AG_54M_5180_Power_Ant0	,PASS		,14.25		,dBm		,13.50		,14.50		,(>= <=)		,0,
6273	,0.281000	,WLAN_CAL_11AG_54M_5240_Power_Ant0	,PASS		,14.15		,dBm		,13.50		,14.50		,(>= <=)		,0,
6274	,0.328000	,WLAN_CAL_11AG_54M_5260_Power_Ant0	,PASS		,13.94		,dBm		,13.50		,14.50		,(>= <=)		,0,
6275	,0.327000	,WLAN_CAL_11AG_54M_5320_Power_Ant0	,PASS		,14.33		,dBm		,13.50		,14.50		,(>= <=)		,0,
6276	,0.297000	,WLAN_CAL_11AG_54M_5500_Power_Ant0	,PASS		,14.49		,dBm		,13.50		,14.50		,(>= <=)		,0,
6277	,0.328000	,WLAN_CAL_11AG_54M_5580_Power_Ant0	,PASS		,14.01		,dBm		,13.50		,14.50		,(>= <=)		,0,
6278	,0.312000	,WLAN_CAL_11AG_54M_5600_Power_Ant0	,PASS		,14.15		,dBm		,13.50		,14.50		,(>= <=)		,0,
6279	,0.296000	,WLAN_CAL_11AG_54M_5680_Power_Ant0	,PASS		,13.71		,dBm		,13.50		,14.50		,(>= <=)		,0,
