Process ID	:,1c1a19823bb025a7572911a3
Date		:,2020-09-09 13:36:51
Elapsed time(s)	:,57.00
Dut Sn:,
Dut Mac: ,2C641FDFF361
Tester Sn: ,WT208C-30473
Test Summary	:,PASS
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,
3454	,0.951000	,WLAN_CAL_11AG_54M_2412_Freq_Ant0	,PASS		, 0.43		,ppm		,-2.00		, 2.00		,(>= <=)		,0,
3455	,1.092000	,WLAN_CAL_11AG_54M_2412_Power_Ant0	,PASS		,14.55		,dBm		,14.50		,15.50		,(>= <=)		,0,
3456	,0.312000	,WLAN_CAL_11AG_54M_2437_Power_Ant0	,PASS		,15.10		,dBm		,14.50		,15.50		,(>= <=)		,0,
3457	,0.483000	,WLAN_CAL_11AG_54M_2462_Power_Ant0	,PASS		,14.93		,dBm		,14.50		,15.50		,(>= <=)		,0,
3458	,0.281000	,WLAN_CAL_11AG_54M_2412_Power_Ant1	,PASS		,14.76		,dBm		,14.50		,15.50		,(>= <=)		,0,
3459	,0.344000	,WLAN_CAL_11AG_54M_2437_Power_Ant1	,PASS		,15.11		,dBm		,14.50		,15.50		,(>= <=)		,0,
3460	,0.358000	,WLAN_CAL_11AG_54M_2462_Power_Ant1	,PASS		,15.32		,dBm		,14.50		,15.50		,(>= <=)		,0,
3461	,1.217000	,WLAN_CAL_11AG_54M_5180_Power_Ant0	,PASS		,14.00		,dBm		,13.50		,14.50		,(>= <=)		,0,
3462	,0.327000	,WLAN_CAL_11AG_54M_5240_Power_Ant0	,PASS		,13.81		,dBm		,13.50		,14.50		,(>= <=)		,0,
3463	,1.030000	,WLAN_CAL_11AG_54M_5260_Power_Ant0	,PASS		,13.63		,dBm		,13.50		,14.50		,(>= <=)		,0,
3464	,0.343000	,WLAN_CAL_11AG_54M_5320_Power_Ant0	,PASS		,13.94		,dBm		,13.50		,14.50		,(>= <=)		,0,
3465	,1.185000	,WLAN_CAL_11AG_54M_5500_Power_Ant0	,PASS		,14.11		,dBm		,13.50		,14.50		,(>= <=)		,0,
3466	,0.343000	,WLAN_CAL_11AG_54M_5580_Power_Ant0	,PASS		,13.82		,dBm		,13.50		,14.50		,(>= <=)		,0,
3467	,1.045000	,WLAN_CAL_11AG_54M_5600_Power_Ant0	,PASS		,13.88		,dBm		,13.50		,14.50		,(>= <=)		,0,
3468	,0.328000	,WLAN_CAL_11AG_54M_5680_Power_Ant0	,PASS		,13.54		,dBm		,13.50		,14.50		,(>= <=)		,0,
3469	,1.092000	,WLAN_CAL_11AG_54M_5700_Power_Ant0	,PASS		,13.88		,dBm		,13.50		,14.50		,(>= <=)		,0,
3470	,0.328000	,WLAN_CAL_11AG_54M_5785_Power_Ant0	,PASS		,13.54		,dBm		,13.50		,14.50		,(>= <=)		,0,
3471	,0.998000	,WLAN_CAL_11AG_54M_5805_Power_Ant0	,PASS		,13.63		,dBm		,13.50		,14.50		,(>= <=)		,0,
3472	,0.327000	,WLAN_CAL_11AG_54M_5825_Power_Ant0	,PASS		,13.72		,dBm		,13.50		,14.50		,(>= <=)		,0,
3473	,0.359000	,WLAN_CAL_11AG_54M_5180_Power_Ant1	,PASS		,13.99		,dBm		,13.50		,14.50		,(>= <=)		,0,
3474	,0.374000	,WLAN_CAL_11AG_54M_5240_Power_Ant1	,PASS		,14.25		,dBm		,13.50		,14.50		,(>= <=)		,0,
3475	,0.312000	,WLAN_CAL_11AG_54M_5260_Power_Ant1	,PASS		,14.19		,dBm		,13.50		,14.50		,(>= <=)		,0,
3476	,0.343000	,WLAN_CAL_11AG_54M_5320_Power_Ant1	,PASS		,13.93		,dBm		,13.50		,14.50		,(>= <=)		,0,
3477	,0.328000	,WLAN_CAL_11AG_54M_5500_Power_Ant1	,PASS		,14.08		,dBm		,13.50		,14.50		,(>= <=)		,0,
