Process ID	:,45e8641173c826fa439473a7
Date		:,2020-09-10 21:11:06
Elapsed time(s)	:,72.00
Dut Sn:,
Dut Mac: ,2C641FE01267
Tester Sn: ,WT208C-30473
Test Summary	:,PASS
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,
2038	,0.374000	,WLAN_CAL_11AG_54M_2412_Freq_Ant0	,PASS		, 0.44		,ppm		,-2.00		, 2.00		,(>= <=)		,0,
2039	,1.061000	,WLAN_CAL_11AG_54M_2412_Power_Ant0	,PASS		,14.90		,dBm		,14.50		,15.50		,(>= <=)		,0,
2040	,0.343000	,WLAN_CAL_11AG_54M_2437_Power_Ant0	,PASS		,15.36		,dBm		,14.50		,15.50		,(>= <=)		,0,
2041	,0.327000	,WLAN_CAL_11AG_54M_2462_Power_Ant0	,PASS		,15.30		,dBm		,14.50		,15.50		,(>= <=)		,0,
2042	,0.296000	,WLAN_CAL_11AG_54M_2412_Power_Ant1	,PASS		,14.79		,dBm		,14.50		,15.50		,(>= <=)		,0,
2043	,0.344000	,WLAN_CAL_11AG_54M_2437_Power_Ant1	,PASS		,15.06		,dBm		,14.50		,15.50		,(>= <=)		,0,
2044	,0.327000	,WLAN_CAL_11AG_54M_2462_Power_Ant1	,PASS		,15.08		,dBm		,14.50		,15.50		,(>= <=)		,0,
2045	,0.327000	,WLAN_CAL_11AG_54M_5180_Power_Ant0	,PASS		,14.47		,dBm		,13.50		,14.50		,(>= <=)		,0,
2046	,0.312000	,WLAN_CAL_11AG_54M_5240_Power_Ant0	,PASS		,14.39		,dBm		,13.50		,14.50		,(>= <=)		,0,
2047	,0.312000	,WLAN_CAL_11AG_54M_5260_Power_Ant0	,PASS		,14.42		,dBm		,13.50		,14.50		,(>= <=)		,0,
2048	,0.327000	,WLAN_CAL_11AG_54M_5320_Power_Ant0	,PASS		,14.08		,dBm		,13.50		,14.50		,(>= <=)		,0,
2049	,0.562000	,WLAN_CAL_11AG_54M_5500_Power_Ant0	,PASS		,13.92		,dBm		,13.50		,14.50		,(>= <=)		,0,
2050	,0.281000	,WLAN_CAL_11AG_54M_5580_Power_Ant0	,PASS		,13.83		,dBm		,13.50		,14.50		,(>= <=)		,0,
2051	,0.312000	,WLAN_CAL_11AG_54M_5600_Power_Ant0	,PASS		,14.18		,dBm		,13.50		,14.50		,(>= <=)		,0,
2052	,0.328000	,WLAN_CAL_11AG_54M_5680_Power_Ant0	,PASS		,14.28		,dBm		,13.50		,14.50		,(>= <=)		,0,
2053	,0.359000	,WLAN_CAL_11AG_54M_5700_Power_Ant0	,PASS		,13.99		,dBm		,13.50		,14.50		,(>= <=)		,0,
2054	,0.312000	,WLAN_CAL_11AG_54M_5785_Power_Ant0	,PASS		,14.27		,dBm		,13.50		,14.50		,(>= <=)		,0,
2055	,0.297000	,WLAN_CAL_11AG_54M_5805_Power_Ant0	,PASS		,13.89		,dBm		,13.50		,14.50		,(>= <=)		,0,
2056	,0.344000	,WLAN_CAL_11AG_54M_5825_Power_Ant0	,PASS		,13.84		,dBm		,13.50		,14.50		,(>= <=)		,0,
2057	,0.312000	,WLAN_CAL_11AG_54M_5180_Power_Ant1	,PASS		,13.95		,dBm		,13.50		,14.50		,(>= <=)		,0,
2058	,0.327000	,WLAN_CAL_11AG_54M_5240_Power_Ant1	,PASS		,13.99		,dBm		,13.50		,14.50		,(>= <=)		,0,
2059	,0.312000	,WLAN_CAL_11AG_54M_5260_Power_Ant1	,PASS		,13.58		,dBm		,13.50		,14.50		,(>= <=)		,0,
2060	,0.312000	,WLAN_CAL_11AG_54M_5320_Power_Ant1	,PASS		,13.89		,dBm		,13.50		,14.50		,(>= <=)		,0,
2061	,0.312000	,WLAN_CAL_11AG_54M_5500_Power_Ant1	,PASS		,13.72		,dBm		,13.50		,14.50		,(>= <=)		,0,
2062	,0.312000	,WLAN_CAL_11AG_54M_5580_Power_Ant1	,PASS		,13.77		,dBm		,13.50		,14.50		,(>= <=)		,0,
2063	,0.281000	,WLAN_CAL_11AG_54M_5600_Power_Ant1	,PASS		,14.06		,dBm		,13.50		,14.50		,(>= <=)		,0,
2064	,0.312000	,WLAN_CAL_11AG_54M_5680_Power_Ant1	,PASS		,13.84		,dBm		,13.50		,14.50		,(>= <=)		,0,
2065	,0.343000	,WLAN_CAL_11AG_54M_5700_Power_Ant1	,PASS		,13.74		,dBm		,13.50		,14.50		,(>= <=)		,0,
2066	,0.344000	,WLAN_CAL_11AG_54M_5785_Power_Ant1	,PASS		,14.10		,dBm		,13.50		,14.50		,(>= <=)		,0,
2067	,0.296000	,WLAN_CAL_11AG_54M_5805_Power_Ant1	,PASS		,14.42		,dBm		,13.50		,14.50		,(>= <=)		,0,
2068	,0.312000	,WLAN_CAL_11AG_54M_5825_Power_Ant1	,PASS		,13.61		,dBm		, 0.50		,28.50		,(>= <=)		,0,
