Process ID	:,2a8b23971a707ad909ed0e38
Date		:,2020-09-14 10:59:46
Elapsed time(s)	:,54.00
Dut Sn:,
Dut Mac: ,2C641FEA07C6
Tester Sn: ,WT208C-30473
Test Summary	:,PASS
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,
5021	,0.749000	,WLAN_CAL_11AG_54M_2412_Freq_Ant0	,PASS		, 1.88		,ppm		,-2.00		, 2.00		,(>= <=)		,0,
5022	,0.999000	,WLAN_CAL_11AG_54M_2412_Power_Ant0	,PASS		,14.90		,dBm		,14.50		,15.50		,(>= <=)		,0,
5023	,0.297000	,WLAN_CAL_11AG_54M_2437_Power_Ant0	,PASS		,15.10		,dBm		,14.50		,15.50		,(>= <=)		,0,
5024	,0.296000	,WLAN_CAL_11AG_54M_2462_Power_Ant0	,PASS		,14.73		,dBm		,14.50		,15.50		,(>= <=)		,0,
5025	,0.280000	,WLAN_CAL_11AG_54M_2412_Power_Ant1	,PASS		,14.54		,dBm		,14.50		,15.50		,(>= <=)		,0,
5026	,0.281000	,WLAN_CAL_11AG_54M_2437_Power_Ant1	,PASS		,14.51		,dBm		,14.50		,15.50		,(>= <=)		,0,
5027	,0.328000	,WLAN_CAL_11AG_54M_2462_Power_Ant1	,PASS		,14.97		,dBm		,14.50		,15.50		,(>= <=)		,0,
5028	,0.312000	,WLAN_CAL_11AG_54M_5180_Power_Ant0	,PASS		,13.63		,dBm		,13.50		,14.50		,(>= <=)		,0,
5029	,0.436000	,WLAN_CAL_11AG_54M_5240_Power_Ant0	,PASS		,14.08		,dBm		,13.50		,14.50		,(>= <=)		,0,
5030	,0.530000	,WLAN_CAL_11AG_54M_5260_Power_Ant0	,PASS		,14.26		,dBm		,13.50		,14.50		,(>= <=)		,0,
5031	,0.281000	,WLAN_CAL_11AG_54M_5320_Power_Ant0	,PASS		,13.68		,dBm		,13.50		,14.50		,(>= <=)		,0,
5032	,0.296000	,WLAN_CAL_11AG_54M_5500_Power_Ant0	,PASS		,14.43		,dBm		,13.50		,14.50		,(>= <=)		,0,
5033	,0.437000	,WLAN_CAL_11AG_54M_5580_Power_Ant0	,PASS		,14.26		,dBm		,13.50		,14.50		,(>= <=)		,0,
5034	,0.530000	,WLAN_CAL_11AG_54M_5600_Power_Ant0	,PASS		,13.85		,dBm		,13.50		,14.50		,(>= <=)		,0,
