Process ID	:,7b29016f4cea4e0364ca442a
Date		:,2020-09-15 19:24:44
Elapsed time(s)	:,43.00
Dut Sn:,
Dut Mac: ,2C641FE9C33B
Tester Sn: ,WT208C-30473
Test Summary	:,PASS
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,
16933	,1.045000	,WLAN_CAL_11AG_54M_2412_Freq_Ant0	,PASS		, 0.02		,ppm		,-2.00		, 2.00		,(>= <=)		,0,
16934	,1.092000	,WLAN_CAL_11AG_54M_2412_Power_Ant0	,PASS		,14.97		,dBm		,14.50		,15.50		,(>= <=)		,0,
16935	,0.359000	,WLAN_CAL_11AG_54M_2437_Power_Ant0	,PASS		,14.67		,dBm		,14.50		,15.50		,(>= <=)		,0,
16936	,0.296000	,WLAN_CAL_11AG_54M_2462_Power_Ant0	,PASS		,14.97		,dBm		,14.50		,15.50		,(>= <=)		,0,
16937	,0.359000	,WLAN_CAL_11AG_54M_2412_Power_Ant1	,PASS		,14.81		,dBm		,14.50		,15.50		,(>= <=)		,0,
16938	,0.327000	,WLAN_CAL_11AG_54M_2437_Power_Ant1	,PASS		,15.11		,dBm		,14.50		,15.50		,(>= <=)		,0,
16939	,0.343000	,WLAN_CAL_11AG_54M_2462_Power_Ant1	,PASS		,15.28		,dBm		,14.50		,15.50		,(>= <=)		,0,
16940	,0.297000	,WLAN_CAL_11AG_54M_5180_Power_Ant0	,PASS		,14.07		,dBm		,13.50		,14.50		,(>= <=)		,0,
16941	,0.343000	,WLAN_CAL_11AG_54M_5240_Power_Ant0	,PASS		,13.97		,dBm		,13.50		,14.50		,(>= <=)		,0,
16942	,0.296000	,WLAN_CAL_11AG_54M_5260_Power_Ant0	,PASS		,14.30		,dBm		,13.50		,14.50		,(>= <=)		,0,
16943	,0.280000	,WLAN_CAL_11AG_54M_5320_Power_Ant0	,PASS		,14.38		,dBm		,13.50		,14.50		,(>= <=)		,0,
16944	,0.312000	,WLAN_CAL_11AG_54M_5500_Power_Ant0	,PASS		,14.07		,dBm		,13.50		,14.50		,(>= <=)		,0,
16945	,0.281000	,WLAN_CAL_11AG_54M_5580_Power_Ant0	,PASS		,14.32		,dBm		,13.50		,14.50		,(>= <=)		,0,
16946	,0.281000	,WLAN_CAL_11AG_54M_5600_Power_Ant0	,PASS		,14.12		,dBm		,13.50		,14.50		,(>= <=)		,0,
16947	,0.281000	,WLAN_CAL_11AG_54M_5680_Power_Ant0	,PASS		,13.90		,dBm		,13.50		,14.50		,(>= <=)		,0,
16948	,0.343000	,WLAN_CAL_11AG_54M_5700_Power_Ant0	,PASS		,14.35		,dBm		,13.50		,14.50		,(>= <=)		,0,
16949	,0.312000	,WLAN_CAL_11AG_54M_5785_Power_Ant0	,PASS		,14.34		,dBm		,13.50		,14.50		,(>= <=)		,0,
16950	,0.344000	,WLAN_CAL_11AG_54M_5805_Power_Ant0	,PASS		,14.19		,dBm		,13.50		,14.50		,(>= <=)		,0,
16951	,0.343000	,WLAN_CAL_11AG_54M_5825_Power_Ant0	,PASS		,14.12		,dBm		,13.50		,14.50		,(>= <=)		,0,
16952	,0.328000	,WLAN_CAL_11AG_54M_5180_Power_Ant1	,PASS		,14.37		,dBm		,13.50		,14.50		,(>= <=)		,0,
16953	,0.530000	,WLAN_CAL_11AG_54M_5240_Power_Ant1	,PASS		,14.07		,dBm		,13.50		,14.50		,(>= <=)		,0,
16954	,0.468000	,WLAN_CAL_11AG_54M_5260_Power_Ant1	,PASS		,13.98		,dBm		,13.50		,14.50		,(>= <=)		,0,
16955	,0.484000	,WLAN_CAL_11AG_54M_5320_Power_Ant1	,PASS		,14.05		,dBm		,13.50		,14.50		,(>= <=)		,0,
16956	,0.312000	,WLAN_CAL_11AG_54M_5500_Power_Ant1	,PASS		,14.41		,dBm		,13.50		,14.50		,(>= <=)		,0,
16957	,0.328000	,WLAN_CAL_11AG_54M_5580_Power_Ant1	,PASS		,13.99		,dBm		,13.50		,14.50		,(>= <=)		,0,
16958	,0.312000	,WLAN_CAL_11AG_54M_5600_Power_Ant1	,PASS		,13.97		,dBm		,13.50		,14.50		,(>= <=)		,0,
16959	,0.312000	,WLAN_CAL_11AG_54M_5680_Power_Ant1	,PASS		,14.31		,dBm		,13.50		,14.50		,(>= <=)		,0,
16960	,0.296000	,WLAN_CAL_11AG_54M_5700_Power_Ant1	,PASS		,14.24		,dBm		,13.50		,14.50		,(>= <=)		,0,
16961	,0.296000	,WLAN_CAL_11AG_54M_5785_Power_Ant1	,PASS		,14.33		,dBm		,13.50		,14.50		,(>= <=)		,0,
16962	,0.281000	,WLAN_CAL_11AG_54M_5805_Power_Ant1	,PASS		,14.29		,dBm		,13.50		,14.50		,(>= <=)		,0,
16963	,0.297000	,WLAN_CAL_11AG_54M_5825_Power_Ant1	,PASS		,14.25		,dBm		, 0.50		,28.50		,(>= <=)		,0,
16964	,0.796000	,WLAN_TXVERIFY_11B_11M_2422_EVM_Ant0	,PASS		,-17.91		,dB		,-55.00		,-10.00		,(>= <=)		,0,
16965	,0.796000	,WLAN_TXVERIFY_11B_11M_2422_Power_Ant0	,PASS		,17.12		,dBm		,15.00		,19.00		,(>= <=)		,0,
16966	,0.796000	,WLAN_TXVERIFY_11B_11M_2422_Mask_Ant0	,PASS		, 0.00		,percent		, 0.00		, 5.12		,(>= <=)		,0,
16967	,0.796000	,WLAN_TXVERIFY_11B_11M_2422_FreqErr_Ant0	,PASS		,-0.60		,ppm		,-15.00		,15.00		,(>= <=)		,0,
16968	,0.500000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_EVM_Ant0	,PASS		,-38.72		,dB		,-55.00		,-27.00		,(>= <=)		,0,
16969	,0.500000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_Power_Ant0	,PASS		,13.70		,dBm		,12.00		,16.00		,(>= <=)		,0,
16970	,0.500000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_Mask_Ant0	,PASS		, 0.00		,percent		, 0.00		, 5.12		,(>= <=)		,0,
16971	,0.500000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_FreqErr_Ant0	,PASS		,-0.60		,ppm		,-15.00		,15.00		,(>= <=)		,0,
16972	,0.499000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2462_EVM_Ant0	,PASS		,-38.17		,dB		,-55.00		,-27.00		,(>= <=)		,0,
16973	,0.499000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2462_Power_Ant0	,PASS		,13.57		,dBm		,12.00		,16.00		,(>= <=)		,0,
16974	,0.499000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2462_Mask_Ant0	,PASS		, 0.00		,percent		, 0.00		, 5.12		,(>= <=)		,0,
16975	,0.499000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2462_FreqErr_Ant0	,PASS		,-0.61		,ppm		,-15.00		,15.00		,(>= <=)		,0,
16976	,0.780000	,WLAN_TXVERIFY_11B_11M_2422_EVM_Ant1	,PASS		,-17.57		,dB		,-55.00		,-10.00		,(>= <=)		,0,
16977	,0.780000	,WLAN_TXVERIFY_11B_11M_2422_Power_Ant1	,PASS		,16.94		,dBm		,15.00		,19.00		,(>= <=)		,0,
16978	,0.780000	,WLAN_TXVERIFY_11B_11M_2422_Mask_Ant1	,PASS		, 0.00		,percent		, 0.00		, 5.12		,(>= <=)		,0,
16979	,0.780000	,WLAN_TXVERIFY_11B_11M_2422_FreqErr_Ant1	,PASS		,-0.63		,ppm		,-15.00		,15.00		,(>= <=)		,0,
16980	,0.452000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_EVM_Ant1	,PASS		,-38.94		,dB		,-55.00		,-27.00		,(>= <=)		,0,
16981	,0.452000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_Power_Ant1	,PASS		,13.87		,dBm		,12.00		,16.00		,(>= <=)		,0,
16982	,0.452000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_Mask_Ant1	,PASS		, 0.00		,percent		, 0.00		, 5.12		,(>= <=)		,0,
16983	,0.452000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_FreqErr_Ant1	,PASS		,-0.60		,ppm		,-15.00		,15.00		,(>= <=)		,0,
