Process ID	:,634478e05f29562356244005
Date		:,2020-09-15 21:40:45
Elapsed time(s)	:,44.00
Dut Sn:,
Dut Mac: ,2C641FE9CE6B
Tester Sn: ,WT208C-30473
Test Summary	:,PASS
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,
5322	,0.890000	,WLAN_CAL_11AG_54M_2412_Freq_Ant0	,PASS		, 0.23		,ppm		,-2.00		, 2.00		,(>= <=)		,0,
5323	,1.108000	,WLAN_CAL_11AG_54M_2412_Power_Ant0	,PASS		,15.14		,dBm		,14.50		,15.50		,(>= <=)		,0,
5324	,0.297000	,WLAN_CAL_11AG_54M_2437_Power_Ant0	,PASS		,15.04		,dBm		,14.50		,15.50		,(>= <=)		,0,
5325	,0.328000	,WLAN_CAL_11AG_54M_2462_Power_Ant0	,PASS		,15.31		,dBm		,14.50		,15.50		,(>= <=)		,0,
5326	,0.327000	,WLAN_CAL_11AG_54M_2412_Power_Ant1	,PASS		,14.83		,dBm		,14.50		,15.50		,(>= <=)		,0,
5327	,0.328000	,WLAN_CAL_11AG_54M_2437_Power_Ant1	,PASS		,14.80		,dBm		,14.50		,15.50		,(>= <=)		,0,
5328	,0.312000	,WLAN_CAL_11AG_54M_2462_Power_Ant1	,PASS		,15.13		,dBm		,14.50		,15.50		,(>= <=)		,0,
5329	,0.297000	,WLAN_CAL_11AG_54M_5180_Power_Ant0	,PASS		,14.30		,dBm		,13.50		,14.50		,(>= <=)		,0,
5330	,0.312000	,WLAN_CAL_11AG_54M_5240_Power_Ant0	,PASS		,14.44		,dBm		,13.50		,14.50		,(>= <=)		,0,
5331	,0.328000	,WLAN_CAL_11AG_54M_5260_Power_Ant0	,PASS		,14.00		,dBm		,13.50		,14.50		,(>= <=)		,0,
5332	,0.328000	,WLAN_CAL_11AG_54M_5320_Power_Ant0	,PASS		,14.15		,dBm		,13.50		,14.50		,(>= <=)		,0,
5333	,0.327000	,WLAN_CAL_11AG_54M_5500_Power_Ant0	,PASS		,14.22		,dBm		,13.50		,14.50		,(>= <=)		,0,
5334	,0.390000	,WLAN_CAL_11AG_54M_5580_Power_Ant0	,PASS		,14.07		,dBm		,13.50		,14.50		,(>= <=)		,0,
5335	,0.343000	,WLAN_CAL_11AG_54M_5600_Power_Ant0	,PASS		,14.30		,dBm		,13.50		,14.50		,(>= <=)		,0,
5336	,0.343000	,WLAN_CAL_11AG_54M_5680_Power_Ant0	,PASS		,14.18		,dBm		,13.50		,14.50		,(>= <=)		,0,
5337	,0.343000	,WLAN_CAL_11AG_54M_5700_Power_Ant0	,PASS		,14.04		,dBm		,13.50		,14.50		,(>= <=)		,0,
5338	,0.359000	,WLAN_CAL_11AG_54M_5785_Power_Ant0	,PASS		,14.22		,dBm		,13.50		,14.50		,(>= <=)		,0,
5339	,0.328000	,WLAN_CAL_11AG_54M_5805_Power_Ant0	,PASS		,14.02		,dBm		,13.50		,14.50		,(>= <=)		,0,
5340	,0.312000	,WLAN_CAL_11AG_54M_5825_Power_Ant0	,PASS		,14.15		,dBm		,13.50		,14.50		,(>= <=)		,0,
5341	,0.328000	,WLAN_CAL_11AG_54M_5180_Power_Ant1	,PASS		,14.45		,dBm		,13.50		,14.50		,(>= <=)		,0,
5342	,0.327000	,WLAN_CAL_11AG_54M_5240_Power_Ant1	,PASS		,14.18		,dBm		,13.50		,14.50		,(>= <=)		,0,
5343	,0.328000	,WLAN_CAL_11AG_54M_5260_Power_Ant1	,PASS		,14.16		,dBm		,13.50		,14.50		,(>= <=)		,0,
5344	,0.344000	,WLAN_CAL_11AG_54M_5320_Power_Ant1	,PASS		,14.19		,dBm		,13.50		,14.50		,(>= <=)		,0,
5345	,0.515000	,WLAN_CAL_11AG_54M_5500_Power_Ant1	,PASS		,13.74		,dBm		,13.50		,14.50		,(>= <=)		,0,
5346	,0.499000	,WLAN_CAL_11AG_54M_5580_Power_Ant1	,PASS		,13.57		,dBm		,13.50		,14.50		,(>= <=)		,0,
5347	,0.328000	,WLAN_CAL_11AG_54M_5600_Power_Ant1	,PASS		,14.25		,dBm		,13.50		,14.50		,(>= <=)		,0,
5348	,0.312000	,WLAN_CAL_11AG_54M_5680_Power_Ant1	,PASS		,14.13		,dBm		,13.50		,14.50		,(>= <=)		,0,
5349	,0.343000	,WLAN_CAL_11AG_54M_5700_Power_Ant1	,PASS		,14.29		,dBm		,13.50		,14.50		,(>= <=)		,0,
5350	,0.328000	,WLAN_CAL_11AG_54M_5785_Power_Ant1	,PASS		,13.94		,dBm		,13.50		,14.50		,(>= <=)		,0,
5351	,0.312000	,WLAN_CAL_11AG_54M_5805_Power_Ant1	,PASS		,14.17		,dBm		,13.50		,14.50		,(>= <=)		,0,
5352	,0.312000	,WLAN_CAL_11AG_54M_5825_Power_Ant1	,PASS		,14.19		,dBm		, 0.50		,28.50		,(>= <=)		,0,
5353	,0.811000	,WLAN_TXVERIFY_11B_11M_2422_EVM_Ant0	,PASS		,-17.95		,dB		,-55.00		,-10.00		,(>= <=)		,0,
5354	,0.811000	,WLAN_TXVERIFY_11B_11M_2422_Power_Ant0	,PASS		,17.35		,dBm		,15.00		,19.00		,(>= <=)		,0,
