Process ID	:,00221f1b3ba54212015e57b3
Date		:,2020-09-15 22:18:28
Elapsed time(s)	:,59.00
Dut Sn:,
Dut Mac: ,2C641FE9CE24
Tester Sn: ,WT208C-30473
Test Summary	:,PASS
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,
913	,0.889000	,WLAN_CAL_11AG_54M_2412_Freq_Ant0	,PASS		, 1.39		,ppm		,-2.00		, 2.00		,(>= <=)		,0,
914	,1.030000	,WLAN_CAL_11AG_54M_2412_Power_Ant0	,PASS		,14.94		,dBm		,14.50		,15.50		,(>= <=)		,0,
915	,0.297000	,WLAN_CAL_11AG_54M_2437_Power_Ant0	,PASS		,14.91		,dBm		,14.50		,15.50		,(>= <=)		,0,
916	,0.327000	,WLAN_CAL_11AG_54M_2462_Power_Ant0	,PASS		,15.11		,dBm		,14.50		,15.50		,(>= <=)		,0,
917	,0.312000	,WLAN_CAL_11AG_54M_2412_Power_Ant1	,PASS		,14.58		,dBm		,14.50		,15.50		,(>= <=)		,0,
918	,0.531000	,WLAN_CAL_11AG_54M_2437_Power_Ant1	,PASS		,15.18		,dBm		,14.50		,15.50		,(>= <=)		,0,
919	,0.312000	,WLAN_CAL_11AG_54M_2462_Power_Ant1	,PASS		,14.70		,dBm		,14.50		,15.50		,(>= <=)		,0,
920	,0.328000	,WLAN_CAL_11AG_54M_5180_Power_Ant0	,PASS		,14.30		,dBm		,13.50		,14.50		,(>= <=)		,0,
921	,0.327000	,WLAN_CAL_11AG_54M_5240_Power_Ant0	,PASS		,14.20		,dBm		,13.50		,14.50		,(>= <=)		,0,
922	,0.312000	,WLAN_CAL_11AG_54M_5260_Power_Ant0	,PASS		,14.34		,dBm		,13.50		,14.50		,(>= <=)		,0,
923	,0.296000	,WLAN_CAL_11AG_54M_5320_Power_Ant0	,PASS		,14.40		,dBm		,13.50		,14.50		,(>= <=)		,0,
924	,0.499000	,WLAN_CAL_11AG_54M_5500_Power_Ant0	,PASS		,13.68		,dBm		,13.50		,14.50		,(>= <=)		,0,
925	,0.327000	,WLAN_CAL_11AG_54M_5580_Power_Ant0	,PASS		,14.27		,dBm		,13.50		,14.50		,(>= <=)		,0,
926	,0.328000	,WLAN_CAL_11AG_54M_5600_Power_Ant0	,PASS		,14.12		,dBm		,13.50		,14.50		,(>= <=)		,0,
927	,0.312000	,WLAN_CAL_11AG_54M_5680_Power_Ant0	,PASS		,13.71		,dBm		,13.50		,14.50		,(>= <=)		,0,
928	,0.327000	,WLAN_CAL_11AG_54M_5700_Power_Ant0	,PASS		,14.24		,dBm		,13.50		,14.50		,(>= <=)		,0,
929	,0.328000	,WLAN_CAL_11AG_54M_5785_Power_Ant0	,PASS		,14.08		,dBm		,13.50		,14.50		,(>= <=)		,0,
930	,0.281000	,WLAN_CAL_11AG_54M_5805_Power_Ant0	,PASS		,14.13		,dBm		,13.50		,14.50		,(>= <=)		,0,
931	,0.297000	,WLAN_CAL_11AG_54M_5825_Power_Ant0	,PASS		,13.81		,dBm		,13.50		,14.50		,(>= <=)		,0,
932	,0.296000	,WLAN_CAL_11AG_54M_5180_Power_Ant1	,PASS		,13.65		,dBm		,13.50		,14.50		,(>= <=)		,0,
