Process ID	:,13193f175b9f02b03cee4f95
Date		:,2020-09-16 15:26:41
Elapsed time(s)	:,42.00
Dut Sn:,
Dut Mac: ,2C641FE9C090
Tester Sn: ,WT208C-30473
Test Summary	:,PASS
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,
9307	,0.390000	,WLAN_CAL_11AG_54M_2412_Freq_Ant0	,PASS		, 1.94		,ppm		,-2.00		, 2.00		,(>= <=)		,0,
9308	,1.046000	,WLAN_CAL_11AG_54M_2412_Power_Ant0	,PASS		,15.19		,dBm		,14.50		,15.50		,(>= <=)		,0,
9309	,0.281000	,WLAN_CAL_11AG_54M_2437_Power_Ant0	,PASS		,15.02		,dBm		,14.50		,15.50		,(>= <=)		,0,
9310	,0.281000	,WLAN_CAL_11AG_54M_2462_Power_Ant0	,PASS		,14.59		,dBm		,14.50		,15.50		,(>= <=)		,0,
9311	,0.312000	,WLAN_CAL_11AG_54M_2412_Power_Ant1	,PASS		,15.03		,dBm		,14.50		,15.50		,(>= <=)		,0,
9312	,0.312000	,WLAN_CAL_11AG_54M_2437_Power_Ant1	,PASS		,15.14		,dBm		,14.50		,15.50		,(>= <=)		,0,
9313	,0.296000	,WLAN_CAL_11AG_54M_2462_Power_Ant1	,PASS		,15.43		,dBm		,14.50		,15.50		,(>= <=)		,0,
9314	,0.312000	,WLAN_CAL_11AG_54M_5180_Power_Ant0	,PASS		,14.40		,dBm		,13.50		,14.50		,(>= <=)		,0,
9315	,0.343000	,WLAN_CAL_11AG_54M_5240_Power_Ant0	,PASS		,13.86		,dBm		,13.50		,14.50		,(>= <=)		,0,
9316	,0.296000	,WLAN_CAL_11AG_54M_5260_Power_Ant0	,PASS		,14.18		,dBm		,13.50		,14.50		,(>= <=)		,0,
9317	,0.327000	,WLAN_CAL_11AG_54M_5320_Power_Ant0	,PASS		,13.94		,dBm		,13.50		,14.50		,(>= <=)		,0,
9318	,0.328000	,WLAN_CAL_11AG_54M_5500_Power_Ant0	,PASS		,13.84		,dBm		,13.50		,14.50		,(>= <=)		,0,
9319	,0.296000	,WLAN_CAL_11AG_54M_5580_Power_Ant0	,PASS		,14.20		,dBm		,13.50		,14.50		,(>= <=)		,0,
9320	,0.281000	,WLAN_CAL_11AG_54M_5600_Power_Ant0	,PASS		,14.11		,dBm		,13.50		,14.50		,(>= <=)		,0,
9321	,0.296000	,WLAN_CAL_11AG_54M_5680_Power_Ant0	,PASS		,14.25		,dBm		,13.50		,14.50		,(>= <=)		,0,
9322	,0.312000	,WLAN_CAL_11AG_54M_5700_Power_Ant0	,PASS		,14.41		,dBm		,13.50		,14.50		,(>= <=)		,0,
9323	,0.312000	,WLAN_CAL_11AG_54M_5785_Power_Ant0	,PASS		,14.35		,dBm		,13.50		,14.50		,(>= <=)		,0,
9324	,0.499000	,WLAN_CAL_11AG_54M_5805_Power_Ant0	,PASS		,13.98		,dBm		,13.50		,14.50		,(>= <=)		,0,
9325	,0.312000	,WLAN_CAL_11AG_54M_5825_Power_Ant0	,PASS		,13.99		,dBm		,13.50		,14.50		,(>= <=)		,0,
9326	,0.328000	,WLAN_CAL_11AG_54M_5180_Power_Ant1	,PASS		,14.28		,dBm		,13.50		,14.50		,(>= <=)		,0,
9327	,0.296000	,WLAN_CAL_11AG_54M_5240_Power_Ant1	,PASS		,14.19		,dBm		,13.50		,14.50		,(>= <=)		,0,
9328	,0.281000	,WLAN_CAL_11AG_54M_5260_Power_Ant1	,PASS		,14.27		,dBm		,13.50		,14.50		,(>= <=)		,0,
9329	,0.312000	,WLAN_CAL_11AG_54M_5320_Power_Ant1	,PASS		,13.89		,dBm		,13.50		,14.50		,(>= <=)		,0,
9330	,0.296000	,WLAN_CAL_11AG_54M_5500_Power_Ant1	,PASS		,14.10		,dBm		,13.50		,14.50		,(>= <=)		,0,
9331	,0.312000	,WLAN_CAL_11AG_54M_5580_Power_Ant1	,PASS		,14.42		,dBm		,13.50		,14.50		,(>= <=)		,0,
9332	,0.327000	,WLAN_CAL_11AG_54M_5600_Power_Ant1	,PASS		,14.10		,dBm		,13.50		,14.50		,(>= <=)		,0,
9333	,0.499000	,WLAN_CAL_11AG_54M_5680_Power_Ant1	,PASS		,13.95		,dBm		,13.50		,14.50		,(>= <=)		,0,
9334	,0.312000	,WLAN_CAL_11AG_54M_5700_Power_Ant1	,PASS		,13.90		,dBm		,13.50		,14.50		,(>= <=)		,0,
9335	,0.499000	,WLAN_CAL_11AG_54M_5785_Power_Ant1	,PASS		,13.68		,dBm		,13.50		,14.50		,(>= <=)		,0,
9336	,0.281000	,WLAN_CAL_11AG_54M_5805_Power_Ant1	,PASS		,13.91		,dBm		,13.50		,14.50		,(>= <=)		,0,
9337	,0.296000	,WLAN_CAL_11AG_54M_5825_Power_Ant1	,PASS		,14.20		,dBm		, 0.50		,28.50		,(>= <=)		,0,
9338	,0.780000	,WLAN_TXVERIFY_11B_11M_2422_EVM_Ant0	,PASS		,-17.83		,dB		,-55.00		,-10.00		,(>= <=)		,0,
9339	,0.780000	,WLAN_TXVERIFY_11B_11M_2422_Power_Ant0	,PASS		,17.45		,dBm		,15.00		,19.00		,(>= <=)		,0,
9340	,0.780000	,WLAN_TXVERIFY_11B_11M_2422_Mask_Ant0	,PASS		, 0.00		,percent		, 0.00		, 5.12		,(>= <=)		,0,
9341	,0.780000	,WLAN_TXVERIFY_11B_11M_2422_FreqErr_Ant0	,PASS		, 0.79		,ppm		,-15.00		,15.00		,(>= <=)		,0,
9342	,0.468000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_EVM_Ant0	,PASS		,-37.23		,dB		,-55.00		,-27.00		,(>= <=)		,0,
9343	,0.468000	,WLAN_TXVERIFY_HT40_HT40_MCS7_2442_Power_Ant0	,PASS		,13.76		,dBm		,12.00		,16.00		,(>= <=)		,0,
